2024-08-05 14:07:37.266 | [main] | INFO  | o.a.m.internal.ManagerConnectionImpl:639 | Connecting to localhost:5038
2024-08-05 14:07:37.269 | [main] | DEBUG | o.a.m.internal.ManagerConnectionImpl:642 | Creating reader for localhost:5038
2024-08-05 14:07:37.269 | [main] | DEBUG | o.a.m.internal.ManagerConnectionImpl:647 | Creating writer
2024-08-05 14:07:37.269 | [main] | DEBUG | o.a.m.internal.ManagerConnectionImpl:651 | Creating socket
2024-08-05 14:07:37.269 | [main] | DEBUG | o.a.m.internal.ManagerConnectionImpl:654 | Passing socket to reader
2024-08-05 14:07:37.270 | [main] | DEBUG | o.a.m.internal.ManagerConnectionImpl:658 | Creating and starting reader thread
2024-08-05 14:07:37.272 | [main] | DEBUG | o.a.m.internal.ManagerConnectionImpl:666 | Passing socket to writer
2024-08-05 14:07:37.312 | [Thread-4] | DEBUG | o.a.m.internal.ManagerConnectionImpl:1019 | Dispatching response with internalActionId '946884592_0':
org.asteriskjava.manager.response.ManagerResponse: actionId='null'; message='null'; response='Success'; uniqueId='null'; systemHashcode=1468276939
2024-08-05 14:07:37.312 | [main] | INFO  | o.a.m.internal.ManagerConnectionImpl:702 | Closing socket.
2024-08-05 14:07:37.343 | [Thread-3] | INFO  | o.a.m.internal.ManagerConnectionImpl:1225 | Connected via Asterisk Call Manager/1.0
2024-08-05 14:07:37.345 | [Thread-3] | WARN  | o.a.m.internal.ManagerConnectionImpl:1228 | Unsupported protocol version 'Asterisk Call Manager/1.0'. Use at your own risk.
