2024-07-28 14:29:49.240 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:103 | connectionProvider=com.github.davidmoten.rx.jdbc.ConnectionProviderFromUrl@ff684e1
2024-07-28 14:29:49.241 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:105 | getting connection
2024-07-28 14:29:49.250 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:113 | setting parameters
2024-07-28 14:29:49.251 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:129 | executing sql=select count(*) from person, parameters []
2024-07-28 14:29:49.258 | [main] | TRACE | com.github.davidmoten.rx.jdbc.QuerySelectProducer:114 | onNext
2024-07-28 14:29:49.265 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectProducer:150 | closing rs
2024-07-28 14:29:49.265 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:214 | closed rs9: null
2024-07-28 14:29:49.265 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectProducer:152 | closing ps
2024-07-28 14:29:49.266 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:124 | cancelled prep9: select count(*) from person
2024-07-28 14:29:49.266 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:129 | closed prep9: null
2024-07-28 14:29:49.266 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectProducer:154 | closing con
2024-07-28 14:29:49.266 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:148 | closed conn1: url=jdbc:h2:mem:test1 user=
2024-07-28 14:29:49.267 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectProducer:156 | closed
2024-07-28 14:29:49.268 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:161 | closing rs
2024-07-28 14:29:49.268 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:163 | closing ps
2024-07-28 14:29:49.268 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:165 | closing con
2024-07-28 14:29:49.268 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:167 | closed
2024-07-28 14:29:49.285 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Database:698 | beginTransactionSubscribe
2024-07-28 14:29:49.290 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Database:671 | beginTransactionObserve
2024-07-28 14:29:49.292 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Database:684 | batching size=3
2024-07-28 14:29:49.306 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:124 | cancelled com.github.davidmoten.rx.jdbc.PreparedStatementBatch@2c9399a4
2024-07-28 14:29:49.306 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:129 | closed com.github.davidmoten.rx.jdbc.PreparedStatementBatch@2c9399a4
2024-07-28 14:29:49.307 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Database:684 | batching size=3
2024-07-28 14:29:49.307 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:124 | cancelled com.github.davidmoten.rx.jdbc.PreparedStatementBatch@2c9399a4
2024-07-28 14:29:49.307 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:129 | closed com.github.davidmoten.rx.jdbc.PreparedStatementBatch@2c9399a4
2024-07-28 14:29:49.308 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Database:684 | batching size=3
2024-07-28 14:29:49.309 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:124 | cancelled com.github.davidmoten.rx.jdbc.PreparedStatementBatch@2c9399a4
2024-07-28 14:29:49.309 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:129 | closed com.github.davidmoten.rx.jdbc.PreparedStatementBatch@2c9399a4
2024-07-28 14:29:49.310 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Database:684 | batching size=3
2024-07-28 14:29:49.310 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:124 | cancelled com.github.davidmoten.rx.jdbc.PreparedStatementBatch@2c9399a4
2024-07-28 14:29:49.310 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:129 | closed com.github.davidmoten.rx.jdbc.PreparedStatementBatch@2c9399a4
2024-07-28 14:29:49.310 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Database:684 | batching size=3
2024-07-28 14:29:49.311 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:124 | cancelled com.github.davidmoten.rx.jdbc.PreparedStatementBatch@2c9399a4
2024-07-28 14:29:49.311 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:129 | closed com.github.davidmoten.rx.jdbc.PreparedStatementBatch@2c9399a4
2024-07-28 14:29:49.312 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Database:684 | batching size=1
2024-07-28 14:29:49.312 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Database:715 | endTransactionObserve
2024-07-28 14:29:49.312 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:148 | closed com.github.davidmoten.rx.jdbc.ConnectionBatch@71e5f61d
2024-07-28 14:29:49.313 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:103 | connectionProvider=com.github.davidmoten.rx.jdbc.ConnectionProviderFromUrl@ff684e1
2024-07-28 14:29:49.313 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:105 | getting connection
2024-07-28 14:29:49.313 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:113 | setting parameters
2024-07-28 14:29:49.314 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:129 | executing sql=select count(*) from person, parameters []
2024-07-28 14:29:49.314 | [main] | TRACE | com.github.davidmoten.rx.jdbc.QuerySelectProducer:114 | onNext
2024-07-28 14:29:49.314 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectProducer:150 | closing rs
2024-07-28 14:29:49.315 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:214 | closed rs15: null
2024-07-28 14:29:49.315 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectProducer:152 | closing ps
2024-07-28 14:29:49.315 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:124 | cancelled prep11: select count(*) from person
2024-07-28 14:29:49.315 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:129 | closed prep11: null
2024-07-28 14:29:49.315 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectProducer:154 | closing con
2024-07-28 14:29:49.315 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:148 | closed conn3: url=jdbc:h2:mem:test1 user=
2024-07-28 14:29:49.316 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectProducer:156 | closed
2024-07-28 14:29:49.316 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:161 | closing rs
2024-07-28 14:29:49.316 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:163 | closing ps
2024-07-28 14:29:49.316 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:165 | closing con
2024-07-28 14:29:49.316 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:167 | closed
