2024-07-28 18:34:26.441 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:103 | connectionProvider=com.github.davidmoten.rx.jdbc.ConnectionProviderFromUrl@1477089c
2024-07-28 18:34:26.442 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:105 | getting connection
2024-07-28 18:34:26.443 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:107 | preparing statement,sql=select name, score from person order by name
2024-07-28 18:34:26.451 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:129 | executing sql=select name, score from person order by name, parameters []
2024-07-28 18:34:26.457 | [main] | TRACE | com.github.davidmoten.rx.jdbc.QuerySelectProducer:114 | onNext
2024-07-28 18:34:26.465 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:214 | closed rs9: null
2024-07-28 18:34:26.465 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:148 | closed conn1: url=jdbc:h2:mem:test1 user=
2024-07-28 18:34:26.466 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:167 | closed
2024-07-28 18:34:26.466 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectProducer:150 | closing rs
2024-07-28 18:34:26.466 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectProducer:154 | closing con
2024-07-28 18:34:26.466 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectProducer:141 | onError: class java.lang.String cannot be cast to class com.github.davidmoten.rx.jdbc.DatabaseTestBase$Person (java.lang.String is in module java.base of loader 'bootstrap'; com.github.davidmoten.rx.jdbc.DatabaseTestBase$Person is in unnamed module of loader 'app')
2024-07-28 18:34:26.466 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Database:715 | endTransactionObserve
2024-07-28 18:34:26.469 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Database:706 | endTransactionSubscribe
2024-07-28 18:34:26.469 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:146 | onError: class java.lang.String cannot be cast to class com.github.davidmoten.rx.jdbc.DatabaseTestBase$Person (java.lang.String is in module java.base of loader 'bootstrap'; com.github.davidmoten.rx.jdbc.DatabaseTestBase$Person is in unnamed module of loader 'app')
