"signature","test_trace_id","line_no","registry_id","path","invoked_order"
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N001#","12",79,"1","src/test/java/functions/CalculatorTest.java;CalculatorTest.<init>#@11",0
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N001#","13",80,"1","src/main/java/functions/Calculator.java;Calculator.<init>#@16",0
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N001#","13",80,"1","src/main/java/functions/Calculator.java;Calculator.<init>#@18",1
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N001#","13",80,"1","src/main/java/functions/Calculator.java;Calculator.<init>#@19",2
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N001#","13",80,"1","src/main/java/functions/Calculator.java;Calculator.<init>#@20",3
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N001#","13",80,"1","src/main/java/functions/Calculator.java;Calculator.<init>#@21",4
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N001#","14",81,"1","src/main/java/functions/Calculator.java;Calculator.divided#Double@71",0
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N001#","14",81,"1","src/main/java/functions/Calculator.java;Calculator.isStaticNull#Double,Double@154",1
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N001#","14",81,"1","src/main/java/functions/Calculator.java;Calculator.divided#Double@74",2
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N001#","14",81,"1","src/main/java/functions/Calculator.java;Calculator.divided#Double@79",3
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N001#","14",81,"1","src/main/java/functions/Calculator.java;Calculator.divided#Double@80",4
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N001#","14",81,"1","src/main/java/functions/Calculator.java;Calculator.divided#Double@81",5
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N001#","15",82,"1","src/main/java/functions/Calculator.java;Calculator.getAnswer#@146",0
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N002#","1",86,"1","src/test/java/functions/CalculatorTest.java;CalculatorTest.<init>#@11",0
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N002#","2",87,"1","src/main/java/functions/Calculator.java;Calculator.<init>#@16",0
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N002#","2",87,"1","src/main/java/functions/Calculator.java;Calculator.<init>#@18",1
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N002#","2",87,"1","src/main/java/functions/Calculator.java;Calculator.<init>#@19",2
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N002#","2",87,"1","src/main/java/functions/Calculator.java;Calculator.<init>#@20",3
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N002#","2",87,"1","src/main/java/functions/Calculator.java;Calculator.<init>#@21",4
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N002#","3",88,"1","src/main/java/functions/Calculator.java;Calculator.divided#Double@71",0
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N002#","3",88,"1","src/main/java/functions/Calculator.java;Calculator.isStaticNull#Double,Double@154",1
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N002#","3",88,"1","src/main/java/functions/Calculator.java;Calculator.divided#Double@72",2
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N002#","4",89,"1","src/main/java/functions/Calculator.java;Calculator.getAnswer#@146",0
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N003#","6",93,"1","src/test/java/functions/CalculatorTest.java;CalculatorTest.<init>#@11",0
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N003#","7",94,"1","src/main/java/functions/Calculator.java;Calculator.<init>#@16",0
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N003#","7",94,"1","src/main/java/functions/Calculator.java;Calculator.<init>#@18",1
"src/test/java/functions/CalculatorTest.java;CalculatorTest.testDivided_N003#","7",94,"1","src/main/java/functions/Calculator.java;Calculator.<init>#@19",2
